"""Valores Recolhidos por Distribuidora - Art. 3º da Lei 8.685/93 - Em Reais (R$) - 2002 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Estrangeira Representada""";"""Empresa Brasileira """;"""Valor (R$)"""
"""2017""";"""PARAMOUNT SPAIN SL""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""122571,48"""
"""2017""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""12190,5"""
"""2017""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""27725,56"""
"""2017""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1821633,43"""
"""2017""";"""PYRAMIDE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""15009,49"""
"""2017""";"""SARAVA PICTURES, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""2225,24"""
"""2017""";"""SARL WIDE HOUSE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4327,01"""
"""2017""";"""SAS KINOLOGY""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2178,39"""
"""2017""";"""SONY PICTURES RELEASING INTERNATIONAL CORPORATION""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""4939839,59"""
"""2017""";"""STRAY DOGS LTD.""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1251,09"""
"""2017""";"""STUDIOCANAL""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""526,78"""
"""2017""";"""TWENTIETH CENTURY FOX HOME ENTERTAINMENT INTERNATIONAL CORPORATION""";"""SONY DADC BRASIL INDUSTRIA, COMERCIO E DISTRIBUICAO VIDEO-FONOGRAFICA LTDA""";"""630000"""
"""2017""";"""TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION""";"""FOX FILM DO BRASIL LTDA""";"""16310400,18"""
"""2017""";"""TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION""";"""SONY DADC BRASIL INDUSTRIA, COMERCIO E DISTRIBUICAO VIDEO-FONOGRAFICA LTDA""";"""493022,45"""
"""2017""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""ENCRIPTA S/A""";"""4057,98"""
"""2017""";"""UNIVERSAL STUDIOS LIMITED""";"""UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.""";"""11653458,76"""
"""2017""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""CLARO S.A.""";"""2238438,51"""
"""2017""";"""WARNER BROS. DISTRIBUTING INC.""";"""CLARO S.A.""";"""2934632,13"""
"""2017""";"""WARNER BROS. DISTRIBUTING INC.""";"""ENCRIPTA S/A""";"""3440,5"""
"""2017""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""21778073,68"""
"""2017""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""ENCRIPTA S/A""";"""9503,69"""
"""2017""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""SONY DADC BRASIL INDUSTRIA, COMERCIO E DISTRIBUICAO VIDEO-FONOGRAFICA LTDA""";"""1750000"""
"""2017""";"""WILD BUNCH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""29893,7"""
"""2016""";"""AGGREGATOR MEDIA LLC""";"""CLARO S/A""";"""27265,34"""
"""2016""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""7965,18"""
"""2016""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""837275,88"""
"""2016""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""45194,35"""
"""2016""";"""FREEWAY SPAIN, S.L.""";"""ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP""";"""12733,44"""
"""2016""";"""FUNNY BALLOONS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""123,06"""
"""2016""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""23567,85"""
"""2016""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""24229,22"""
"""2016""";"""LE PACTE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""10734,33"""
"""2016""";"""LES FILMS DU LOSANGE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""792,31"""
"""2016""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""13357,35"""
"""2016""";"""PARAMOUNT SPAIN SL""";"""ENCRIPTA S/A""";"""16962,24"""
"""2016""";"""PARAMOUNT SPAIN SL""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""71536,25"""
"""2016""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""156511,16"""
"""2016""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""63993,88"""
"""2016""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1198741,7"""
"""2016""";"""SARAVA PICTURES, LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""379,27"""
"""2016""";"""SARAVA PICTURES, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""6900,06"""
"""2016""";"""SONY PICTURES RELEASING INTERNATIONAL CORPORATION""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1817072,6"""
"""2016""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""27449,3"""
"""2016""";"""TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION""";"""FOX FILM DO BRASIL LTDA""";"""20990736,05"""
"""2016""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""ENCRIPTA S/A""";"""5484,73"""
"""2016""";"""UNIVERSAL STUDIOS LIMITED""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1470818,52"""
"""2016""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""SONY DADC BRASIL INDÚSTRIA COMÉRCIO E DISTRIBUIÇÃO VIDEO-FONOGRÁFICA LTDA""";"""350000"""
"""2016""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""CLARO S/A""";"""1676724,16"""
"""2016""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""25400108,72"""
"""2016""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""ENCRIPTA S/A""";"""2995,07"""
"""2016""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""CLARO S/A""";"""1104649,57"""
"""2016""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""SONY DADC BRASIL INDUSTRIA, COMERCIO E """;"""2275000"""
"""2016""";"""WILD BUNCH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""20426,24"""
"""2015""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""6599,3"""
"""2015""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""1074193,46"""
"""2015""";"""BUENA VISTA INTERNATIONAL, INC""";"""THE WALT DISNEY COMPANY (BRASIL) LTDA.""";"""6823744,51"""
"""2015""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""750589,77"""
"""2015""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""1149334,57"""
"""2015""";"""FREEWAY SPAIN, S.L.""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""186,04"""
"""2015""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""15112,75"""
"""2015""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""157049,9"""
"""2015""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""86,87"""
"""2015""";"""LE PACTE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""20809,27"""
"""2015""";"""LES FILMS DU LOSANGE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4556,46"""
"""2015""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""16912,83"""
"""2015""";"""PARAMOUNT SPAIN SL""";"""ENCRIPTA S/A""";"""8547,02"""
"""2015""";"""PARAMOUNT SPAIN SL""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""1985192,03"""
"""2015""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""87206,47"""
"""2015""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""86553,1"""
"""2015""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1595376,49"""
"""2015""";"""SARAVA PICTURES, LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""8022,58"""
"""2015""";"""SARAVA PICTURES, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""21021,25"""
"""2015""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""94665,81"""
"""2015""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""AMZ MIDIA INDUSTRIAL S/A""";"""353119,05"""
"""2015""";"""SONY PICTURES RELEASING INTERNATIONAL CORPORATION""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1299631,09"""
"""2015""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""AMZ MIDIA INDUSTRIAL S/A""";"""689375,26"""
"""2015""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""16466,81"""
"""2015""";"""TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION""";"""FOX FILM DO BRASIL LTDA""";"""3050545,86"""
"""2015""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""ENCRIPTA S/A""";"""5242,57"""
"""2015""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1570341,17"""
"""2015""";"""UNIVERSAL STUDIOS LIMITED""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1525923,3"""
"""2015""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""J E J TV POR ASSINATURA LTDA""";"""45,81"""
"""2015""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""AMZ MIDIA INDUSTRIAL S/A""";"""2278499,99"""
"""2015""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""NET SERVIÇOS DE COMUNICAÇÃO S/A.""";"""225074,35"""
"""2015""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""CLARO S/A""";"""1410759,08"""
"""2015""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""7330028,76"""
"""2015""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""AMZ MIDIA INDUSTRIAL S/A""";"""2975000"""
"""2015""";"""WILD BUNCH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""40559,69"""
"""2014""";"""BUENA VISTA INTERNATIONAL, INC""";"""SARAIVA E SICILIANO S/A""";"""767,6"""
"""2014""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""3397124,74"""
"""2014""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""161432,19"""
"""2014""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""2090005,81"""
"""2014""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""900059,03"""
"""2014""";"""FREEWAY SPAIN, S.L.""";"""ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP""";"""13602,35"""
"""2014""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""44738,11"""
"""2014""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""50269,69"""
"""2014""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""169,04"""
"""2014""";"""PARAMOUNT SPAIN SL""";"""ENCRIPTA CONS LICENC DE CONTEUDO E DESENVOLVIMENTO DE SOFTWARES LTDA""";"""12213,68"""
"""2014""";"""PARAMOUNT SPAIN SL""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""3686330,5"""
"""2014""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""212787,31"""
"""2014""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""107888,25"""
"""2014""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""838319"""
"""2014""";"""SARAVA PICTURES, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""74794,83"""
"""2014""";"""SARAVA PICTURES, LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""331642,38"""
"""2014""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""120135,33"""
"""2014""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""2448723,83"""
"""2014""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""TRUETECH S/A""";"""2627,88"""
"""2014""";"""SONY PICTURES RELEASING INTERNATIONAL CORPORATION""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""151379,16"""
"""2014""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""SKY BRASIL SERVIÇOS LTDA""";"""63879,03"""
"""2014""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""15200949,95"""
"""2014""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""41687,12"""
"""2014""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""SKY BRASIL SERVIÇOS LTDA""";"""55441,57"""
"""2014""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""AMZ MIDIA INDUSTRIAL S/A""";"""1627499,99"""
"""2014""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""TRUETECH S/A""";"""6817,36"""
"""2014""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""SONY DADC BRASIL INDÚSTRIA COMÉRCIO E DISTRIBUIÇÃO VIDEO-FONOGRÁFICA LTDA""";"""45622,58"""
"""2014""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""243422,45"""
"""2014""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""NET SERVIÇOS DE COMUNICAÇÃO S/A.""";"""652713,94"""
"""2014""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""AMZ MIDIA INDUSTRIAL S/A""";"""4683033,74"""
"""2014""";"""WARNER BROS. DISTRIBUTING INC.""";"""WARNER BROS. (SOUTH) INC.""";"""5362718,69"""
"""2014""";"""WARNER BROS. HOME ENTERTAINMENT INC.""";"""AMZ MIDIA INDUSTRIAL S/A""";"""7499,99"""
"""2013""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2712,49"""
"""2013""";"""BUENA VISTA INTERNATIONAL, INC""";"""SARAIVA E SICILIANO S/A""";"""1661,28"""
"""2013""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""1978533,52"""
"""2013""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""693540,36"""
"""2013""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""2366017,83"""
"""2013""";"""FILMS BOUTIQUE SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""5238,08"""
"""2013""";"""FREEWAY ENTERTAINMENT KFT""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""278667,23"""
"""2013""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""1129814,28"""
"""2013""";"""FREEWAY SPAIN, S.L.""";"""ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP""";"""3585,83"""
"""2013""";"""FREEWAY SPAIN, S.L.""";"""CANNES PRODUÇÕES S/A""";"""62389,88"""
"""2013""";"""GEM ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""53253,57"""
"""2013""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""2520"""
"""2013""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""1295,97"""
"""2013""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""503,33"""
"""2013""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4352,82"""
"""2013""";"""PARAMOUNT SPAIN SL""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""2633749,66"""
"""2013""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""255201,76"""
"""2013""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""220847,29"""
"""2013""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1988474,87"""
"""2013""";"""SARAVA PICTURES, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""164761,75"""
"""2013""";"""SARAVA PICTURES, LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""176159,81"""
"""2013""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1729,61"""
"""2013""";"""SAS FILMS DISTRIBUTION""";"""SERENDIP FILMES LTDA""";"""8519,09"""
"""2013""";"""SAS KINOLOGY""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4912,24"""
"""2013""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""229942"""
"""2013""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""2639156,85"""
"""2013""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""TRUETECH S/A""";"""3150"""
"""2013""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""AMZ MIDIA INDUSTRIAL S/A""";"""210000"""
"""2013""";"""STUDIOCANAL""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""19149,2"""
"""2013""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""SKY BRASIL SERVIÇOS LTDA""";"""32990,64"""
"""2013""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""AMZ MIDIA INDUSTRIAL S/A""";"""1785000"""
"""2013""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""10755838,63"""
"""2013""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2955,48"""
"""2013""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""4043913,89"""
"""2013""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""ENCRIPTA CONS LICENC DE CONTEUDO E DESENVOLVIMENTO DE SOFTWARES LTDA""";"""16346,18"""
"""2013""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""SKY BRASIL SERVIÇOS LTDA""";"""27673,41"""
"""2013""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""AMZ MIDIA INDUSTRIAL S/A""";"""315000"""
"""2013""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""ENCRIPTA CONS LICENC DE CONTEUDO E DESENVOLVIMENTO DE SOFTWARES LTDA""";"""21491,78"""
"""2013""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""AMZ MIDIA INDUSTRIAL S/A""";"""1050000"""
"""2013""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""44308,91"""
"""2013""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""NET SERVIÇOS DE COMUNICAÇÃO S/A.""";"""371242,66"""
"""2013""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""AMZ MIDIA INDUSTRIAL S/A""";"""1480499,96"""
"""2013""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""3726229,21"""
"""2013""";"""WILD BUNCH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""19565,17"""
"""2012""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""730,15"""
"""2012""";"""BUENA VISTA INTERNATIONAL, INC""";"""SARAIVA E SICILIANO S/A""";"""1656,58"""
"""2012""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""5919047,76"""
"""2012""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""648365,2"""
"""2012""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""2798754,32"""
"""2012""";"""FANDANGO S R L""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3871,56"""
"""2012""";"""FREEWAY ENTERTAINMENT KFT""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""299950,66"""
"""2012""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""3228477,78"""
"""2012""";"""GEM ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""307456,16"""
"""2012""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""59812,19"""
"""2012""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""15309,2"""
