CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICACAO_PROGRAMADORA;PAIS_PROGRAMADORA
TV CIRCULANDO CANAL COMUNITÁRIO DE ARARAQUARA;43066.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;18/05/2009;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DE SERVIÇOS DE TV COM SINAIS TRANSPORTADOS POR MEIOS FÍSICOS E RADIODIFUSÃO DE ARARAQUARA SP;10.724.055/0001-06;;BRASIL
TV COM;33164.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/09/2005;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DE LAURO DE FREITAS;07.457.311/0001-23;;BRASIL
TV COM SANTOS;62280.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/12/1999;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS E ADMINISTRADORAS DO CANAL COMUNITÁRIO DE PRAIA GRANDE E REGIÃO;15.609.800/0001-81;;BRASIL
TV COM SOROCABA;55401.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;27/03/2008;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DO CANAL DE TELEVISÃO COMUNITÁRIA DE SOROCABA;03.168.766/0001-78;;BRASIL
TV COM SÃO VICENTE;56059.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/12/1999;PADRÃO;ASSOCIACAO DAS ENTIDADES USUARIAS E ADMINISTRADORAS DO CANAL COMUNITARIO DE SAO VICENTE E REGIAO;15.609.875/0001-62;;BRASIL
TV COMUNITÁRIA CIDADE LIVRE;14411.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/06/2002;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE RIO CLARO;04.511.886/0001-99;;BRASIL
TV COMUNITÁRIA MARECHAL;31584.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/01/2016;PADRÃO;ASSOCIAÇÃO DE TV COMUNITÁRIA MARECHAL;17.073.434/0001-14;;BRASIL
TV CÂMARA;13576.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;20/01/1998;PADRÃO;CAMARA DOS DEPUTADOS;00.530.352/0001-59;;BRASIL
TV CÂMARA CAMPINAS;62274.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/12/2004;PADRÃO;CÂMARA MUNICIPAL DE CAMPINAS;49.425.994/0001-87;;BRASIL
TV CÂMARA DISTRITAL;50155.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;25/10/2021;PADRÃO;CAMARA LEGISLATIVA DO DISTRITO FEDERAL;26.963.645/0001-13;;BRASIL
TV CÂMARA NATAL;40972.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;29/04/2003;PADRÃO;CÂMARA MUNICIPAL DO NATAL;08.456.899/0001-63;;BRASIL
TV ESCOLA;675.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;03/05/2013;PADRÃO;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;;BRASIL
TV ESTEIO - RCT ESTEIO;52582.30006;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;06/01/2025;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV FEEVALE;41770.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;17/12/2013;PADRÃO;ASSOCIAÇÃO PRO-ENSINO SUPERIOR EM NOVO HAMBURGO;91.693.531/0001-62;;BRASIL
TV GAZETA;44418.30008;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV GLOBO;4727.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;26/04/1965;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TV GRAMADO;52582.30003;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;17/09/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV GRAVATAÍ;52582.30007;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;06/01/2025;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV GUARULHOS;44214.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;21/12/2009;PADRÃO;PROJETO IRRADIANTE DE COMUNICAÇÃO;01.874.614/0001-65;;BRASIL
TV HORIZONTE;44418.30030;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV INFORMAÇÃO;47990.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/02/2019;PADRÃO;INSTITUTO AUDIOVISUAL JOSÉ DE ANCHIETA - IAJA;33.145.553/0001-91;;BRASIL
TV INTERIOR PAULISTA;64200.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/01/2026;PADRÃO;ASSOCIACAO CANAL COMUNITARIO DO INTERIOR PAULISTA DE SAO JOSE DO RIO PRETO E REGIAO METROPOLITANA;63.054.081/0001-22;;BRASIL
TV JUSTICA;44418.30023;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV LITORAL CAPÃO DA CANOA;52582.30008;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;09/08/2011;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV MAIS CANOAS;52582.30009;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;06/01/2025;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV MONTENEGRO;52582.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;26/05/2019;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV MUNDO MAIOR;44418.30029;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV NATAL;22230.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;11/12/2011;PADRÃO;ASSOCIACAO DE TV COMUNITARIA E CIDADANIA DE NATAL RN;14.940.867/0001-31;;BRASIL
TV NOTÍCIA MONGAGUÁ;47897.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/04/2019;PADRÃO;INSTITUTO DE MEMORIA AUDIOVISUAL DE MONGAGUÁ-IMAM;34.305.207/0001-96;;BRASIL
TV NOVO TEMPO;44418.30028;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV OSASCO;42435.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;03/07/2002;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DA CIDADE DE OSASCO;04.813.542/0001-34;;BRASIL
TV PAMPA (REDETV);44418.30005;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV POP;30477.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/08/2015;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DA TV COMUNITÁRIA DE PETRÓPOLIS - TV POP;22.494.557/0001-69;;BRASIL
TV SANTA;47539.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;12/02/2021;PADRÃO;REDE DE COMUNICACAO TV SANTA;39.504.095/0001-16;;BRASIL
TV SENADO;43097.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/02/1996;PADRÃO;SENADO FEDERAL;00.530.279/0001-15;;BRASIL
TV SENADO;44418.30018;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TV SÃO CAETANO;54249.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/03/2015;PADRÃO;ASEAM - ASSOCIAÇÃO SANCAETANENSE EMILIA ALFREDO MANGANOTTI;07.786.915/0001-13;;BRASIL
TV SÃO LEOPOLDO;52582.30010;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;06/01/2025;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV TORRES;52582.30002;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;17/09/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV TRAMANDAÍ;52582.30005;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/10/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV VALE DAS ARTES;42256.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;28/02/1998;PADRÃO;RADIO E CANAL COMUNITÁRIO DE PERUÍBE RADIO E TV VALE DAS ARTES;04.290.786/0001-80;;BRASIL
TV VALE DO RIO PARDO;52582.30011;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/04/2018;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV VERA CRUZ;54294.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;16/06/2023;PADRÃO;ASSOCIAÇÃO IRRADIANTE DE COMUNICAÇÃO SÃO BERNARDO DO CAMPO - AICSBC;50.868.368/0001-44;;BRASIL
TV VILA IMPERIAL - ORGANIZAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE PETRÓPOLIS;12916.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;02/10/2003;PADRÃO;TV VILA IMPERIAL - ORGANIZAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE PETRÓPOLIS;05.322.835/0001-81;;BRASIL
TV VOTORANTIM;43589.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;08/12/2009;PADRÃO;ASSOCIAÇÃO DE ENTIDADES USUÁRIAS E ADMINISTRADORAS DO CANAL COMUNITÁRIO DA CIDADE DE VOTORANTIM;11.187.987/0001-11;;BRASIL
TVC AMAZÔNIA;55175.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;07/03/2018;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DE PORTO VELHO;06.128.270/0001-69;;BRASIL
TVC MIDIAMAX;20786.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;10/01/1997;PADRÃO;SOCIEDADE DE DESENVOLVIMENTO CULTURAL,ECOLOGICA E SOCIAL DO M.S.;01.746.087/0001-03;;BRASIL
TVC OURINHOS;32406.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/05/2016;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE OURINHOS;24.292.022/0001-30;;BRASIL
TVC-RIO;41628.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;30/10/1996;PADRÃO;ASSOCIAÇÃO DE ENTIDADES CANAL COMUNITARIO DE TVS POR ASSINATURA DO RIO DE JANEIRO;03.105.610/0001-48;;BRASIL
TVCOM;23412.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/12/1999;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DE CANAL COMUNITÁRIO EM SANTOS;03.199.584/0001-64;;BRASIL
TVE HD (TV BRASIL);44418.30016;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
TVITAPÊ - TV COMUNITÁRIA DE ITAPETININGA;46626.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;10/01/2002;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES DO CANAL COMUNITÁRIO DE ITAPETININGA;04.728.406/0001-46;;BRASIL
TVS REGIONAL;57728.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;02/10/2024;PADRÃO;ASSOCIAÇÃO DE REDE DE TELEVISÃO - REDE TVS;52.270.842/0001-67;;BRASIL
TVT;44418.30026;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
ULBRA TV (CULTURA);44418.30020;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
UTV LONDRINA;61732.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;20/04/2010;PADRÃO;ASSOCIAÇÃO CRISTÃ DE MOÇOS DE LONDRINA;78.318.292/0001-00;;BRASIL
VALE TV;41579.30001;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;27/04/2017;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO VALE TV;28.115.546/0001-07;;BRASIL
VALE TV NOVO HAMBURGO;52582.30012;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;06/01/2025;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
