"""Valores Recolhidos - Art. 3ºA da Lei 8.685/93 -  Em Reais (R$) - 2009 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Remetente""";"""Empresa Estrangeira Contribuinte""";"""Valor (R$)"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""ESPN INTERNATIONAL BV""";"""972459,72"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""FULL PLAY GROUP S.A""";"""5896,24"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""GOALHANGER FILMS""";"""1636,77"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""INFRONT SPORTS & MEDIA AG.""";"""31480,68"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""LAGARDÈRE SPORTS AND ENTERTAINMENT""";"""41803,65"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""NHL ENTERPRISES""";"""69562,5"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA)""";"""7898,48"""
"""2017""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""TRANS WORLD INTERNATIONAL, LLC.""";"""174198,96"""
"""2017""";"""FOX FILM DO BRASIL LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION INC.""";"""5624264,65"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CDC INTERNATIONAL""";"""255077,38"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FÉDÉRATION INTERNATIONALE DE FOOTBALL ASSOCIATION""";"""7833734,27"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""892192,07"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FILMGATE ENTERTAINMENT, INC.""";"""23331,5"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED""";"""15060711,37"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FOX INTERNATIONAL CHANNELS (US), INC""";"""17420680,79"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FREEWAY SPAIN SL""";"""701873,81"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FULL PLAY GROUP S.A""";"""3153965,29"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GEM ENTERTAINMENT KFT""";"""831431,29"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""4581921,22"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""PARAMOUNT SPAIN SL""";"""1765283,17"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""PROSCENIUM PICTURES""";"""27958,53"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""SARAVA PICTURES, LLC""";"""145539,74"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL""";"""6673793,82"""
"""2017""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ZUFFA INTERNATIONAL, LLC""";"""2355866,45"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""DENTSU INC.""";"""54386,49"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENGLISH DISTRIBUTION, LLC""";"""168647,35"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENJOY""";"""7229,89"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ESPN, INC""";"""412963,14"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FEDERATION INTERNATIONALE DE FOOTBALL ASSOCIATION - FIFA""";"""15308759,87"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FEDERATION INTERNATIONALE DE NATATION (FINA)""";"""485242,99"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""83988,2"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED""";"""2308206,78"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FSLA HOLDINGS, LLC""";"""1758756,18"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FULL PLAY GROUP""";"""2120609,91"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""GIVE ME SPORTS & EVENTS LIMITED""";"""197949,52"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""GOLDEN BOY""";"""30023,23"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""INFRONT SPORTS & MEDIA AG.""";"""6941,86"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""5327650,15"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""LAGARDÈRE SPORTS SCANDINAVIA AB""";"""111310,69"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""NBA PROPERTIES INC.""";"""550972,07"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""PARAMOUNT SPAIN SL""";"""1099,84"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""PITCH INTERNATIONAL""";"""1062560,74"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA)""";"""75085,72"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""STICHTING SPORTEVENEMENTEN LE CHAMPION""";"""2741,74"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TENNIS PROPERTIES LIMITED""";"""1693281,02"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRAFFIC SPORTS EUROPE BV""";"""40247,67"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRANS WORLD INTERNATIONAL INC""";"""1276701,76"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL-UEFA""";"""1740016,67"""
"""2017""";"""GLOBOSAT PROGRAMADORA LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""138261,38"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""ENJOY TV""";"""380,53"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""ESPN, INC""";"""21728,34"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""FEDERATION INTERNATIONALE DE NATATION (FINA)""";"""25539,11"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""FULL PLAY GROUP""";"""111611,08"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""GIVE ME SPORTS & EVENTS LIMITED""";"""10418,13"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""GOLDEN BOY PROMOTIONS, LLC""";"""1580,21"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""INFRONT SPORTS & MEDIA AG""";"""365,35"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""INTERNATIONAL OLYMPIC COMMITTEE.""";"""280248,26"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""LAGARDÈRE SPORTS SCANDINAVIA AB.""";"""5858,48"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA)""";"""2629,81"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""STICHTING SPORTEVENEMENTEN LE CHAMPION""";"""144,31"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""TENNIS PROPERTIES LIMITED""";"""44270,57"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""TENNIS PROPERTIES LIMITED.""";"""44849,48"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""TRAFFIC SPORTS EUROPE B.V.""";"""3585,32"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""TRANS WORLD INTERNATIONAL INC""";"""60725,48"""
"""2017""";"""HORIZONTE CONTEUDOS LTDA""";"""ZUFFA INTERNATIONAL, LLC""";"""11594393,47"""
"""2017""";"""RADIO E TELEVISAO BANDEIRANTES S.A.""";"""PARAMOUNT SPAIN SL""";"""8078,36"""
"""2017""";"""RADIO E TELEVISAO BANDEIRANTES S.A.""";"""VIACOM INTERNATIONAL INC""";"""15778,14"""
"""2017""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""ORGANIZAÇÃO DESPORTIVA PAN-AMERICANA - ODEPA""";"""2485077,78"""
"""2017""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""4806386,82"""
"""2017""";"""SC COMUNICAÇÕES LTDA""";"""LIONS GATE FILMS INC.""";"""107910,35"""
"""2017""";"""SC COMUNICAÇÕES LTDA""";"""TOEI ANIMATION COMPANY""";"""10181,06"""
"""2017""";"""SKY BRASIL SERVIÇOS LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""46082,29"""
"""2017""";"""SKY SERVICOS DE BANDA LARGA LTDA.""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""233184,45"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CDC INTERNATIONAL SARL""";"""14487,17"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CINEPLEX INC.""";"""37020,32"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""FORTÍSSIMO AMSTERDAM B.V.""";"""81,84"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""FREEWAY SPAIN S.L""";"""1519237,27"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""FREEWAY SPAIN SL""";"""119915,78"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""146987,08"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GUSSI, S.A. DE C.V.""";"""14593,76"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""LIONS GATE FILMS INTERNATIONAL""";"""5519648,1"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM INTERNATIONAL TELEVISION DISTRIBUTION, INC""";"""5402462,92"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM INTERNATIONAL TELEVISIONS DISTRIBUTION INC""";"""563057,15"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""PARAMOUNT SPAIN SL""";"""7625053,81"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION INC.""";"""15130955,42"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION, INC""";"""368544,86"""
"""2017""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""14969458,5"""
"""2017""";"""TVSBT CANAL 4 DE SAO PAULO S/A""";"""PARAMOUNT SPAIN SL""";"""23137,07"""
"""2016""";"""CANAL BRAZIL S.A""";"""PARAMOUNT SPAIN SL""";"""17379,48"""
"""2016""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""ESPN INTERNATIONAL BV""";"""1786815,47"""
"""2016""";"""FOX FILM DO BRASIL LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION INC.""";"""3287259,36"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""LIONS GATE FILMS INTERNATIONAL""";"""32087,62"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Venice Film Distribution LLC""";"""83674,2"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Cinecom LLC D/B/A 13 Films""";"""89319,17"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Independent International Television Inc.""";"""90117,56"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Freeway Spain S.L.""";"""258224,14"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""721077,45"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GEM ENTERTAINMENT KFT""";"""785453,94"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Proscenium Pictures""";"""848533,23"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""1086953,69"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""1264380,22"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ZUFFA INTERNATIONAL, LLC""";"""2837186,45"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""PARAMOUNT SPAIN SL""";"""3179169,54"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CA2016 Marketing, Inc.""";"""3553792,95"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Full Play Group.""";"""4606873,89"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL-UEFA""";"""7783040,37"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Fox International Channels (US), Inc""";"""12770600,91"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FÉDÉRATION INTERNATIONALE DE FOOTBALL ASSOCIATION""";"""25031011,75"""
"""2016""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED.""";"""27683261,15"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Infront Sports & Media AG.""";"""11122,31"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Sportsman Media Group GMBH.""";"""16766,3"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Golden Boy""";"""21728,48"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""IEC IN SPORTS AB""";"""32499,48"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Benfica TV S.A.""";"""46787,45"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA).""";"""48703,56"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Dentsu Inc.""";"""57924"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRAFFIC SPORTS EUROPE BV""";"""62295,64"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FÉDÉRATION INTERNATIONALE DE GYMNASTIQUE (FIG).""";"""87044,66"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""112044,18"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""130453,04"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENGLISH DISTRIBUTION, LLC""";"""168080,46"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FÉDÉRATION INTERNATIONALE DE NATATION - FINA""";"""176879,53"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Give me sports & events limited""";"""240374,06"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SPORTFIVE International S.A (Sportfive)""";"""248832,61"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""577354,37"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""PITCH INTERNATIONAL""";"""1079074,56"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRANS WORLD INTERNATIONAL INC.""";"""1202238,73"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL""";"""1482186,79"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Tennis Properties Limited.""";"""1900230,18"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Full Play Group.""";"""2004980,27"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FSLA HOLDINGS LLC""";"""2163660,87"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED.""";"""2198785,67"""
"""2016""";"""GLOBOSAT PROGRAMADORA LTDA""";"""CA2016 Marketing, Inc.""";"""3376103,29"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Infront Sports & Media AG.""";"""585,39"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Sportsman Media Group GMBH.""";"""882,45"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Golden Boy Promotions, LLC""";"""1143,61"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""IEC IN SPORTS INTERNATIONAL EVENTS AND COMMUNICATION AB""";"""1710,49"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Benfica TV S.A.""";"""2464,34"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA).""";"""2564,41"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""TRAFFIC SPORTS EUROPE B.V.""";"""4296,99"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""FÉDÉRATION INTERNATIONALE DE GYMNASTIQUE (FIG).""";"""4581,31"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""FÉDÉRATION INTERNATIONALE DE NATATION - FINA""";"""9309,81"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Give me sports & events limited""";"""12652,92"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""SPORTFIVE INTL S.A""";"""13096,45"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""International Olympic Committee.""";"""30387,06"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""TRANS WORLD INTERNATIONAL INC.""";"""61857,1"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Tennis Properties Limited.""";"""100049,21"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""Full Play Group.""";"""105525,32"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""CA2016 Marketing, Inc.""";"""177689,66"""
"""2016""";"""HORIZONTE CONTEUDOS LTDA""";"""ZUFFA INTERNATIONAL, LLC""";"""8367117,85"""
"""2016""";"""RADIO E TELEVISAO BANDEIRANTES S.A.""";"""PARAMOUNT SPAIN SL""";"""35623,3"""
"""2016""";"""RADIO E TELEVISAO BANDEIRANTES S.A.""";"""viacom international inc""";"""105982,77"""
"""2016""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""ORGANIZAÇÃO DESPORTIVA PAN-AMERICANA - ODEPA""";"""50336,22"""
"""2016""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA""";"""575329,78"""
"""2016""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""THE INTERNATIONAL OLYMPIC COMMITTEE""";"""5133373,4"""
"""2016""";"""SKY BRASIL SERVIÇOS LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""136485,42"""
"""2016""";"""SYNAPSE PROGRAMADORA DE CANAIS DE TV LTDA""";"""ARTE FRANCE""";"""1858,81"""
"""2016""";"""SYNAPSE PROGRAMADORA DE CANAIS DE TV LTDA""";"""PBS - Public Media Distribution, LLC""";"""2864,39"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""PLUS ONE PRODUCTIONS, INC.""";"""6679,78"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""Fortíssimo Amsterdam B.V.""";"""7301,8"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CDC United Network S.A.""";"""19112,63"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""20769,34"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GUSSI, S.A. DE C.V.""";"""24089,39"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CINEPLEX INC.""";"""47569,19"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CDC International SARL""";"""188165,6"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""771818,62"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""Freeway Spain S.L.""";"""1284913,99"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""PARAMOUNT SPAIN SL""";"""6633068,87"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM International Televisions Distribution INC""";"""9271822,51"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""13360749,6"""
"""2016""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION INC.""";"""14854385,72"""
"""2016""";"""ZOOMOO PROGRAMADORA SA.""";"""NATURAL HISTORY NEW ZEALAND LIMITED""";"""43545,35"""
"""2015""";"""CANAL BRAZIL S.A""";"""PARAMOUNT SPAIN SL""";"""22865,58"""
"""2015""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""ESPN INTERNATIONAL BV""";"""2039097,77"""
"""2015""";"""FOX FILM DO BRASIL LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION INC.""";"""2222431,47"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FILMGATE ENTERTAINMENT INC""";"""7017,09"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Koan, Inc.""";"""13080,79"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Ablaze Image Ltd.""";"""15437,49"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""COBALT PICTURES, LLC""";"""20905,99"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Metro International Entertainment""";"""21323,93"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Muse Entertainment Enterprises USA, Inc.""";"""21680,65"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ULTRAMEDIA LLC.""";"""23250,21"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""MISSION PICTURES INTERNATIONAL""";"""26396,69"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ATTRACTION INTERNATIONAL DISTRIBUTION INC.""";"""28398,92"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""BORSALINO SARL""";"""51545,27"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CDC UNITED NETWORKS""";"""72057,16"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""SARAVA PICTURES LLC""";"""91431,64"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Red Sea Media, Inc.""";"""108322,98"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Freeway Spain S.L.""";"""109620,97"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""LIONS GATE FILMS INTERNATIONAL""";"""167749,63"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Independent International Television Inc.""";"""202558,21"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CDC International""";"""351313,31"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""372030,7"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Datisa S.A.""";"""757309,41"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GEM ENTERTAINMENT KFT""";"""1070278,81"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Proscenium Pictures""";"""1198092,47"""
