dataset,titulo,prioridade_auditoria,resultado_auditoria,achado,acao,execucao,evidencia_final
ancine-atas-fsa,Atas Oficiais FSA,P2,Melhorar,Registro oculto. Arquivos tratados abriram e o esquema foi inventariado.,"Decidir explicitamente sobre sua publicação. Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-festivais-fsa,Participacao Brasileira em Festivais - FSA,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
oca-publicacoes-complementares,OCA - Inventario de Publicacoes Complementares,P2,Documental,"Registro oculto é um inventário de arquivos e URLs, não uma série factual.","Manter como índice de proveniência; testar conteúdo efetivo dos downloads, pois páginas HTML podem retornar HTTP 200.",Documentado,Registro mantido como inventário/planejamento e excluído da contagem de conjuntos factuais publicados.
br-pib-audiovisual,PIB do Audiovisual - Metodologia ANCINE,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
br-rais-emprego-audiovisual,Emprego no Setor Audiovisual - Metodologia ANCINE,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
br-comercio-exterior-servicos-audiovisuais,Comercio Exterior de Servicos Audiovisuais - Metodologia ANCINE,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
br-comex-bens-audiovisuais,Comex Bens Audiovisuais - Fonte MDIC,P2,Documental,"Registro oculto contém inventário de fonte, sem tabela factual implementada.","Manter identificado como planejamento, sem contá-lo como dataset factual disponível.",Documentado,Registro mantido como inventário/planejamento e excluído da contagem de conjuntos factuais publicados.
br-embrafilme-historico-exibicao,Embrafilme - Historico de Exibicao,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ibge-seculoxx-cinema,IBGE Seculo XX - Cinema (1971-1985),P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
br-bilheteria-historica-complementar,Bilheteria - Serie Historica Complementar,P2,Melhorar,Série composta de fontes com coberturas distintas. O campo raw.path combina caminhos e produz uma pasta de download inválida.,"Oferecer links individuais às fontes e tabela derivada com unidade, cobertura e regra explícita de precedência.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-diversidade-audiovisual,Diversidade Audiovisual - Tabelas Oficiais ANCINE,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ibge-deflator-ipca,Deflator IPCA,P2,Melhorar,Registro oculto. Arquivos tratados abriram e o esquema foi inventariado.,"Decidir explicitamente sobre sua publicação. Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
lumiere-cinemas-europa,Filmes Brasileiros em Salas Europeias,P1,Não conclusivo,"A exportação contém 200 filmes, mas o catálogo não registra filtros e parâmetros suficientes para refazer a extração na fonte.","Registrar consulta, filtro Brasil, data, universo e paginação. Reexportar na fonte e validar a cobertura antes de afirmar completude.",Pendente externo,URL oficial corrigida e disponibilidade confirmada em 2026-09-09; o snapshot não registra todos os filtros/paginação necessários para provar completude ou repetir exatamente a consulta.
lumiere-vod-europa,Filmes Brasileiros em VoD Europeu,P1,Não conclusivo,A URL de origem registrada /vod retorna 404. Não foi obtida nova exportação para confronto.,"Atualizar a origem e documentar país, plataformas, data de referência e parâmetros da consulta. Reexportar e comparar.",Pendente externo,URL oficial corrigida e disponibilidade confirmada em 2026-09-09; o snapshot não registra todos os filtros/paginação necessários para provar completude ou repetir exatamente a consulta.
brasil-no-mundo,Brasil no Mundo,P2,Melhorar,Recursos derivados misturam tipos de evidência internacional. O caminho bruto aponta para um script.,Manter downloads separados por recurso e tipo de evidência. Trocar a pasta de brutos por uma lista das fontes e regras de derivação.,Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
cnc-visas-exploitation,Visas d'Exploitation,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
cnc-frequentation-salles,Frequentacao de Salas,P1,Corrigir,"Cabeçalhos sem significado: unnamed_0, unnamed_1.","Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-etablissements,Estabelecimentos Cinematograficos,P1,Corrigir,"A mesma entidade aparece em colunas alternativas entre anos: nautoc/nauto, nometab/nom_etablissement, depcom/code_commune.",Unificar o esquema entre anos sem juntar conceitos distintos; definir chave estabelecimento + ano e manter códigos como texto.,Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-films-million-entrees,Filmes com Mais de 1 Milhao de Entradas,P1,Corrigir,Cabeçalhos sem significado: unnamed_0.,"Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-donnees-internationales,Dados Internacionais do Cinema,P1,Corrigir,Cabeçalhos sem significado: unnamed_0.,"Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-films-agrees,Filmes com Agrement (Producao e Distribuicao),P1,Corrigir,Planilhas anuais usam esquemas diferentes. O arquivo atual baixado não teve igualdade binária confirmada com o espelho.,"Harmonizar nomes e tipos entre anos, reconciliar os arquivos atual e espelhado e explicitar o período efetivamente publicado.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-audience-television,Audiencia de Filmes na Televisao,P1,Corrigir,"Cabeçalhos sem significado: unnamed_0, unnamed_4, unnamed_5, unnamed_6, unnamed_7, unnamed_8, unnamed_9.","Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-films-television,Filmes na Televisao Francesa,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: cnc_films_television [B Diff TV, Diffusions, Films, FilmsInédits, FilmsPT, FilmsPTInédits].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-exportacao-programas-audiovisuais,Exportacao de Programas Audiovisuais,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: cnc_exportacao_programas [AmériqueNord, AsieOcéanie, EuropeCent, EuropeOuest, Export, Genre, Géo].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-geographie-cinema,Geografia do Cinema Frances,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: cnc_geographie_commune [Art et Essai, RME, TranchePopulation, entrées, fauteuils, indice de fréquentation, multiplexes, recettes, séances]; cnc_geographie_departement [Fiche, RME, RMEAE, RMEG, RMEM, RMEP, entrées, entréesAE, entréesG]; cnc_geographie_region [Fiche, RME, RMEAE, RMEG, RMEM, RMEP, entrées, entréesAE, entréesG]; cnc_geographie_urbain [RME, RMEAE, TranchePopulation, TranchePopulationAE, TranchePopulationGrande, TranchePopulationMoyenne, TranchePopulationPetite, entrées, entréesAE].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-public-vod,Publico de VoD na Franca,P1,Corrigir,Cabeçalhos sem significado: unnamed_0.,"Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-referencias-ativas-vod,Referencias Ativas em VoD,P1,Corrigir,Cabeçalhos sem significado: unnamed_0.,"Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-consumo-vod,Consumo Domestico de VoD,P1,Corrigir,Cabeçalhos sem significado: unnamed_0.,"Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-parc-cinematographique,Parque Cinematografico Frances,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
cnc-financement-television,Financiamento da Televisao Francesa,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: cnc_financement_television [abonnement, cap, publicité].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-distribution-salles,Distribuicao de Filmes em Salas,P1,Corrigir,"Cabeçalhos sem significado: unnamed_1, unnamed_10, unnamed_11, unnamed_12, unnamed_13, unnamed_14, unnamed_15, unnamed_16.","Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
cnc-public-films,Perfil do Publico de Cinema,P1,Corrigir,"Cabeçalhos sem significado: unnamed_1, unnamed_10, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6, unnamed_7.","Identificar o cabeçalho real, remover cabeçalhos e notas do corpo, transformar anos em coluna e tipar cada medida.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
incaa-espectadores-origem,Espectadores de Cinema por Origem do Filme,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-receita-origem,Receita Cinematografica por Origem do Filme,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-estreias-origem,Estreias Cinematograficas por Origem do Filme,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-espectadores-provincias,Espectadores de Cinema por Provincias Argentinas,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-receita-provincias,Receita de Cinema por Provincias Argentinas,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-participacao-distribuidoras,Participacao das Distribuidoras no Mercado Argentino,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-empregos-longa-metragem,Empregos em Longa-Metragem Nacional Argentina,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-acessos-tv-assinatura,Acessos a Servicos de TV por Assinatura na Argentina,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
incaa-receitas-tv-assinatura,Receitas de Servicos de TV por Assinatura na Argentina,P1,Não conclusivo,Arquivos tratados abriram e o esquema foi inventariado. A página original registrada retorna 404 e o download recuperado retorna 403; fonte atual não comparada.,"Atualizar a proveniência para o SINCA, recuperar o CSV oficial e comparar. Corrigir cobertura e unidades por recurso; não repetir 2001–2023 para todos.",Concluído com limitação,"Catálogo oficial SINCA confirmou esquema, unidade e cobertura até 2023. Coberturas e descrições foram corrigidas; nova comparação binária foi bloqueada pelo desafio Cloudflare da origem."
bfi-publicos-cinema,Publicos do Cinema Britanico,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
bfi-bilheteria-2023,Bilheteria do Reino Unido 2023,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_box_office_2023 [T1, T2]. Abas da origem sem representação indicada no tratado: T3, T4, T5, T6, T7, T8, T9.","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis. Publicar as demais ou delimitar explicitamente o escopo do cartão.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-exibicao-cinematografica,Exibicao Cinematografica no Reino Unido,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_exhibition [T1, T2, T3, T4, T5, T6].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-educacao-cinematografica,Educacao Cinematografica no Reino Unido,P1,Corrigir,"Registro oculto. Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_educacao_cinematografica [T1, T2, T3].","Decidir explicitamente sobre sua publicação. Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-empresas-industria,Empresas da Industria Cinematografica Britanica,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_empresas_industria [T1, T2, T3, T4, T5, T6, T7, T8].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-emprego-industria,Emprego na Industria Cinematografica Britanica,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_emprego_industria [T1, T2, T3, T4, T5, T6].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-video-digital,Filmes em Video Digital no Reino Unido,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_video_digital [T1, T2, T3, T4, T5].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-video-fisico,Filmes em Video Fisico no Reino Unido,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_video_fisico [T1, T2, T3, T4, T5, T6].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-filmes-televisao,Filmes na Televisao Britanica,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_filmes_televisao [T1, T2, T3, T4, T5, T6, T7, T8, T9].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-investimento-publico,Investimento Publico no Cinema Britanico,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_investimento_publico [T1, T2, T3, T4, T5, T6, T7].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-certificacao-obras,Certificacao de Obras Britanicas (Screen Sector),P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_certificacao_obras [T1, T2, T3, T4, T5, T6, T7].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
